k,i,j,BaldesDelItemEnColumnaDelPalet,c
5,"352-1984769-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,1
5,"352-1984769-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,2
5,"352-1984769-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",1,3
12,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
12,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
12,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
12,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
15,"312-1984769-DI","20849-FILETE DE AGUJA 400 GR. BAND.",6,1
15,"312-1984769-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",1,1
15,"312-1984769-DI","21267-CINTA DE LOMO 400 GR. BAND.",5,1
15,"312-1984769-DI","20849-FILETE DE AGUJA 400 GR. BAND.",1,2
15,"312-1984769-DI","21267-CINTA DE LOMO 400 GR. BAND.",11,2
15,"312-1984769-DI","21101-LIBRITOS DE LOMO 400 GR. BAND.",11,3
15,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",12,4
15,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",5,5
15,"312-1984769-DI","20849-FILETE DE AGUJA 400 GR. BAND.",6,5
15,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",1,5
15,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",10,6
15,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,7
15,"312-1984769-DI","21267-CINTA DE LOMO 400 GR. BAND.",12,8
37,"331-1984769-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",14,1
37,"331-1984769-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",9,4
43,"312-1984769-DI","20849-FILETE DE AGUJA 400 GR. BAND.",1,1
43,"312-1984769-DI","21267-CINTA DE LOMO 400 GR. BAND.",11,1
43,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",7,2
43,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",5,2
43,"312-1984769-DI","21101-LIBRITOS DE LOMO 400 GR. BAND.",12,3
43,"312-1984769-DI","20849-FILETE DE AGUJA 400 GR. BAND.",4,4
43,"312-1984769-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",7,4
43,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",12,5
43,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",6,6
43,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",6,6
43,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,7
43,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",12,8
59,"332-1984769-DI","20850-SOLOMILLO 2 UNIDADES VACIO",5,1
59,"332-1984769-DI","20871-AGUJA S/H VACIO",7,1
59,"332-1984769-DI","20835-SOLOMILLO VACIO",1,2
59,"332-1984769-DI","20836-CINTA LOMO TROZO VACIO",10,2
59,"332-1984769-DI","20871-AGUJA S/H VACIO",1,2
59,"332-1984769-DI","20836-CINTA LOMO TROZO VACIO",12,3
59,"332-1984769-DI","20835-SOLOMILLO VACIO",12,4
59,"332-1984769-DI","20836-CINTA LOMO TROZO VACIO",12,5
59,"332-1984769-DI","20835-SOLOMILLO VACIO",12,6
59,"332-1984769-DI","20835-SOLOMILLO VACIO",7,8
61,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
61,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
61,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
61,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
63,"311-1984769-DI","21070-CHULETA DE LOMO 600 GR. BAND.",2,1
63,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",2,1
63,"311-1984769-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",3,2
63,"311-1984769-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
74,"352-1984769-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",2,1
74,"352-1984769-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,2
74,"352-1984769-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,3
74,"352-1984769-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",2,4
74,"352-1984769-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,5
74,"352-1984769-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,6
74,"352-1984769-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",11,7
74,"352-1984769-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,8
78,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",11,1
78,"312-1984769-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",1,1
78,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",11,2
78,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",1,2
78,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",1,3
78,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",11,3
78,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",12,4
78,"312-1984769-DI","21100-COSTILLA TROCEADA 560 GR. BAND",1,5
78,"312-1984769-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",11,5
78,"312-1984769-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",11,6
78,"312-1984769-DI","21101-LIBRITOS DE LOMO 400 GR. BAND.",1,6
78,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",4,7
78,"312-1984769-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,8
86,"311-1984769-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
86,"311-1984769-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
86,"311-1984769-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
86,"311-1984769-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
92,"331-1984769-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,1
92,"331-1984769-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,2
92,"331-1984769-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,3
92,"331-1984769-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,4
