name,solution
PaletUsado[1],0
PaletUsado[2],0
PaletUsado[3],0
PaletUsado[4],0
PaletUsado[5],0
PaletUsado[6],0
PaletUsado[7],0
PaletUsado[8],0
PaletUsado[9],0
PaletUsado[10],0
PaletUsado[11],0
PaletUsado[12],0
PaletUsado[13],0
PaletUsado[14],0
PaletUsado[15],0
PaletUsado[16],0
PaletUsado[17],0
PaletUsado[18],0
PaletUsado[19],0
PaletUsado[20],0
PaletUsado[21],0
PaletUsado[22],1
PaletUsado[23],0
PaletUsado[24],0
PaletUsado[25],0
PaletUsado[26],0
PaletUsado[27],0
PaletUsado[28],0
PaletUsado[29],0
PaletUsado[30],0
PaletUsado[31],0
PaletUsado[32],0
PaletUsado[33],0
PaletUsado[34],0
PaletUsado[35],0
PaletUsado[36],0
PaletUsado[37],0
PaletUsado[38],0
PaletUsado[39],0
PaletUsado[40],0
PaletUsado[41],0
PaletUsado[42],0
PaletUsado[43],0
PaletUsado[44],0
PaletUsado[45],0
PaletUsado[46],0
PaletUsado[47],0
PaletUsado[48],0
PaletUsado[49],0
PaletUsado[50],0
PaletUsado[51],0
PaletUsado[52],0
PaletUsado[53],0
PaletUsado[54],0
PaletUsado[55],0
PaletUsado[56],0
PaletUsado[57],0
PaletUsado[58],0
PaletUsado[59],0
PaletUsado[60],0
PaletUsado[61],0
PaletUsado[62],0
PaletUsado[63],1
PaletUsado[64],0
PaletUsado[65],0
PaletUsado[66],0
PaletUsado[67],0
PaletUsado[68],0
PaletUsado[69],0
PaletUsado[70],0
PaletUsado[71],0
PaletUsado[72],0
PaletUsado[73],0
PaletUsado[74],0
PaletUsado[75],0
PaletUsado[76],1
PaletUsado[77],0
PaletUsado[78],0
PaletUsado[79],0
PaletUsado[80],0
PaletUsado[81],0
PaletUsado[82],0
PaletUsado[83],0
PaletUsado[84],0
PaletUsado[85],0
PaletUsado[86],0
PaletUsado[87],0
PaletUsado[88],0
PaletUsado[89],0
PaletUsado[90],0
PaletUsado[91],0
PaletUsado[92],0
PaletUsado[93],0
PaletUsado[94],0
PaletUsado[95],0
PaletUsado[96],0
PaletUsado[97],0
PaletUsado[98],0
PaletUsado[99],0
PaletUsado[100],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',1],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',2],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',3],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',4],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',5],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',6],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',7],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',8],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',9],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',10],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',11],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',12],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',13],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',14],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',15],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',16],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',17],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',18],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',19],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',20],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',21],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',22],1
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',23],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',24],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',25],0
ItemEnPalet['731-1984517-AL','20933-JAMON3DALVACIO',26],0
